IKZF1,European,IgG glycosylation
TET3,African American,Dialysis-related mortality
LINC01478,European,Mean platelet volume
NRXN3,European,Amyotrophic lateral sclerosis (age of onset)
LOC100419513 - SATB2,Ashkenazi Jewish,Schizophrenia
MAML2,European,Response to chemotherapy in breast cancer hypertensive cases (cumulative dose) (bevacizumab)
KDM4D,African American,Diabetic kidney disease
GRAMD1B,European,Chronic lymphocytic leukemia
SLC12A7,European,Neutrophil count
LOC105378741 - RPSAP20,European,Monocyte count
TMEM258,European,Glycerophospholipid levels
CRPP1 - CRP,Finnish,Metabolic traits
RNU6-706P - LINC00669,European,Sleep duration
VN1R10P - TRX-CAT1-6,European,Autism spectrum disorder or schizophrenia
"LOC101928519, LOC105374958",European,Age at voice drop
"LOC107985578, NCF4",European,Neutrophil percentage of granulocytes
ATXN2,European,Neutrophil percentage of granulocytes
GPAM,East Asian,Total cholesterol levels
PLEK - LOC391383,European,Multiple sclerosis
LOC107987123 - LOC107987124,European,Preschool internalizing problems
CDKN2B-AS1,European,Vertical cup-disc ratio
RPS25P10 - BIK,European,Prostate cancer
LOC646588 - LOC100506236,"African American, European",Waist-to-hip ratio adjusted for BMI (joint analysis for main effect and physical activity interaction)
ETS1,European,Psoriasis
DOCK8,European,White blood cell count
"HOXC5, HOXC4",European,Hippocampal volume
BICC1 - RN7SKP196,"Singaporean, Chinese",Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid)
RPL7P4 - MDC1,European,IgG glycosylation
TTLL12,European,Molar-incisor hypomineralization
ANTXR2,European,Ankylosing spondylitis
LOC105377436 - LOC105377438,European,Response to cognitive-behavioural therapy in anxiety disorder
SUGP1,European,LDL cholesterol
ADAM24P - SLC7A2,"African American, European",Conduct disorder
UBR2,Bangladeshi,Smoking initiation
MACROD2,European,Pediatric bone mineral density (femoral neck)
RN7SL705P - PHLPP1,British,Parental extreme longevity (95 years and older)
IREB2 - HYKK,European,Post bronchodilator FEV1
LOC107985484 - RPL23AP12,European,Inflammatory bowel disease
ZNF410,European,Morning vs. evening chronotype
LOC105373384 - DUSP9,Japanese,Type 2 diabetes
IL7R,Japanese,Primary biliary cholangitis
IRF5,European,Sj??gren's syndrome
CTNNA3,European,Optic disc area
PLEKHA4 - PPP1R15A,European,Reticulocyte fraction of red cells
BTBD9,European,Post bronchodilator FEV1/FVC ratio
OXTR,European,Depression and alcohol dependence
LOC107985191 - WARS2,"African American, European",Waist circumference adjusted for BMI (joint analysis main effects and physical activity interaction)
EFEMP1,"African American, European",Waist circumference adjusted for body mass index
ST6GAL1,European,IgG glycosylation
LOC105371388 - LOC105371389,European,Monocyte percentage of white cells
SUGCT,European,Migraine
LOC105377684,European,Major depressive disorder
LOC105373587,East Asian,Capecitabine sensitivity
EGFR,European,Glioblastoma
LOC105377462,European,Post bronchodilator FEV1
SRSF10,Hispanic,Obesity-related traits
GRB14 - COBLL1,"African American, European",Waist-to-hip ratio adjusted for body mass index
LOC107986598,European,Urate levels
LMX1B,European,Body mass index
SYT6,European,Illicit drug use
LOC105376475 - LOC105376476,European,Migraine with aura
ZMIZ1,European,Lung function (FVC)
SRGAP1,Korean,Bone erosion in rheumatoid arthritis
LOC105370627,European,Blond vs. brown hair color
SPHK1,European,Reticulocyte count
LOC105378797,"African American, Filipino",Body mass index in physically active individuals
LOC102723765 - AHNAK,European,Chronic obstructive pulmonary disease-related biomarkers
LOC105370413 - STXBP6,European,Hippocampal volume
LCORL,European,Height
SEPT2 - FARP2,European,Neutrophil percentage of granulocytes
HIST1H2BF - RPS10P1,"African American, Filipino",Waist circumference adjusted for BMI in active individuals
ACOXL,European,Monocyte count
SHFM1 - LOC105375414,European,Attention deficit hyperactivity disorder
C7orf72 - IKZF1,East Asian,HDL cholesterol levels
NPRL3,European,Mean corpuscular volume
IREB2,European,Post bronchodilator FEV1/FVC ratio
"TRAF3IP2-AS1, LOC107986522",European,Ulcerative colitis
LOC101929554 - KITLG,European,Red blood cell count
NOL4,European,Morning vs. evening chronotype
MOSPD3 - TFR2,European,Mean corpuscular hemoglobin
FAM222B,European,Mean corpuscular volume
POU4F3 - LOC105378213,European,Migraine without aura
LOC102724699 - ADIPOQ,European,Adiponectin levels
LOC105377462 - KRT18P51,European,Post bronchodilator FEV1/FVC ratio in COPD
TRIM9,European,Urate levels (BMI interaction)
PLCL2,European,Rheumatoid arthritis
LMOD1,European,Breast size
LOC105371309 - LOC729217,European,"Facial morphology (factor 11, projection of the nose)"
LINC01104,European,Age at first birth
C11orf30 - LOC101928813,"African American, Hawaiian",3-hydroxypropylmercapturic acid levels in smokers
FTO,European,Body mass index
TRIM66,European,Body mass index
BCDIN3D - RPL35AP28,European,Obesity
WDPCP,Hispanic,Obesity-related traits
TFR2,European,Red cell distribution width
CRPP1,Filipino,C-reactive protein
PCBP2P3 - LOC105379080,Finnish,TRAIL levels
SPRED2 - LOC105374780,European,Monocyte percentage of white cells
KCND3,European,Immune reponse to smallpox (secreted IFN-alpha)
ITGB8 - EEF1A1P27,European,Sum eosinophil basophil counts
KLHL6,Finnish,Interleukin-1-beta levels
C7orf66 - LOC646614,Korean,Smoking behavior
"TRIM31-AS1, TRIM31",European,Autism spectrum disorder or schizophrenia
"SYCE2, GCDH",European,Red blood cell traits
WDFY4,African American,Stroke
SLC39A8,European,Body mass index (joint analysis main effects and smoking interaction)
TTLL8,African,Body mass index (adult)
SUGP1,East Asian,Triglyceride levels
CADPS2,"African American, Hawaiian",3-hydroxypropylmercapturic acid levels in smokers
LINC00376 - LOC105370237,European,Survival in pancreatic cancer
COBLL1,European,Reticulocyte fraction of red cells
RNF182 - LOC105374939,Japanese,Rheumatoid arthritis
BRAF,European,Response to Vitamin E supplementation
TRAM2-AS1 - LOC724104,East Asian,Total cholesterol levels
MDGA2,European,Post bronchodilator FEV1/FVC ratio
CBLN2,European,Airflow obstruction
RANBP6 - GTF3AP1,European,Asthma and hay fever
PRDM6 - SUMO1P5,European,Aortic root size
"LOC101928448, LOC105378978",European,Fasting insulin (dietary factor interaction)
ATF6 - OLFML2B,Hispanic,White blood cell count
PLXND1,European,Hip circumference
OPCML,Han Chinese,Amyotrophic lateral sclerosis (sporadic)
MYH11,European,Cognitive function
MTUS2,Hispanic,Obesity-related traits
EEF1A1P11 - LOC105378866,European,BMI (adjusted for smoking behaviour)
C9orf3,European,Atrial fibrillation
C17orf82 - TBX4,European,Height
ITGA4,Dutch,Monocyte-lymphocyte ratio
PTPN11 - MIR1302-1,European,High light scatter reticulocyte count
COLEC11,European,Blood protein levels
"LOC105375144, NXPH1",Hispanic,Obesity-related traits
EHD4,European,White blood cell count
LOC100505797 - LOC400655,European,Trans fatty acid levels
LOC105374627 - LOC107986400,European,Political ideology
LINC01337,European,Huntington's disease progression
CARD9,European,Crohn's disease
SLC29A3,Hispanic,Obesity-related traits
ST3GAL3,European,Aging (time to event)
COMMD10,European,Asthma or chronic obstructive pulmonary disease
LRRC16A,European,Urate levels in overweight individuals
HNF1A,European,C-reactive protein levels
CNTN5 - RN7SL222P,European,Reticulocyte fraction of red cells
LOC105378959,European,Migraine without aura
MTCH2,European,Body mass index
"TPPP, LOC101929895",European,Esophageal adenocarcinoma
RPS4XP11 - PPIAP31,European,Lung function (FEV1/FVC)
FAM13A,European,Waist-to-hip ratio adjusted for BMI (joint analysis main effects and smoking interaction)
CASC8,East Asian,Colorectal cancer
JMJD1C,European,Monocyte percentage of white cells
ADNP,European,Prostate cancer
HHIP,European,Body mass index
TMEM258,European,Stearic acid (18:0) levels
ADAMTS9-AS2,European,Type 2 diabetes
BAK1,European,Eosinophil counts
LOC283440 - RPL23AP14,Kosraen,Quantitative traits
PLXDC2,Han Chinese,Diabetic retinopathy
LOC493754,European,Cotinine glucuronidation
HEATR4,European,Hippocampal volume
LOC105371082,European,Celiac disease
CNTN1,Ashkenazi Jewish,Parkinson's disease
CCL28,European,Post bronchodilator FEV1/FVC ratio in COPD
"CRADD, LOC101928731",European,Hip circumference adjusted for BMI
CCL8,European,Blood protein levels
ERAP1,European,Ankylosing spondylitis
LOC105375444,European,Ulcerative colitis
LPA,European,Lipoprotein(a) levels adjusted for apolipoprotein(a) isoforms
CHRNA5,European,Post bronchodilator FEV1/FVC ratio
HAUS4P1 - LOC101928650,European,Waist-to-hip ratio adjusted for BMI in non-smokers
CPA5 - CPA1,"African American, European",Waist circumference adjusted for body mass index
LOC105369192,European,Blood metabolite levels
"LOC105372666, LOC105372667",European,Body mass index
HIST1H2BI - LOC105374985,European,Educational attainment
RN7SL797P - LOC105377904,European,Night sleep phenotypes
MTCO3P1 - LOC102725019,Japanese,Hepatocellular carcinoma
RAD51B,European,Platelet count
GFI1B,European,Granulocyte count
DOCK1,European,Social communication problems
CEP295,European,Waist circumference adjusted for body mass index
TRBV26OR9-2 - LOC102724216,Finnish,CTACK levels
UBXN2B - CYP7A1,European,"Cholesterol, total"
OTOL1 - LOC107986048,European,Hyperactive-impulsive symptoms
A4GALT,European,Hemoglobin concentration
SMARCA4,European,Coronary heart disease
AKAP12,European,Peripheral arterial disease (traffic-related air pollution interaction)
ASXL3,Brazilian,Antibody status in Tripanosoma cruzi seropositivity
ZMIZ1-AS1,European,Red blood cell count
LPP,Ashkenazi Jewish,Schizophrenia
LOC105377462,European,Post bronchodilator FEV1
TADA2A - DUSP14,European,Plateletcrit
EEFSEC,European,Post bronchodilator FEV1/FVC ratio
ZNF311 - LOC105375002,European,Lung cancer in ever smokers
HYKK,European,Post bronchodilator FEV1/FVC ratio
ADCY9,European,Partial epilepsies
OLFM1 - LOC102723948,European,Response to hepatitis C treatment
CAMKMT,European,Anxiety disorder (factor score)
LOC101929484 - LOC101929504,European,Blood protein levels
SUFU,European,Waist circumference adjusted for body mass index
BTNL2 - HLA-DRA,European,Autism spectrum disorder or schizophrenia
LOC105377979 - RNU1-18P,European,Optic cup area
RNA5SP56 - PSMC1P12,European,Waist circumference adjusted for BMI in non-smokers
HPRT1P2 - RPL19P11,Ashkenazi Jewish,Schizophrenia
FAM135B,European,Periodontitis (PAL4Q3)
KSR2,Korculan,Biochemical measures
LINC00640 - LOC105370496,European,Nonsyndromic cleft lip with or without cleft palate
TXNL4B,European,Metabolite levels (small molecules and protein measures)
AFF1,Japanese,Systemic lupus erythematosus
LOC101927207 - NGFR,European,Immune reponse to smallpox (secreted IL-2)
CCDC7,European,Peripheral arterial disease (traffic-related air pollution interaction)
LOC100507513,European,Nose morphology
LOC107983963,European,Trans fatty acid levels
GKN2 - GKN1,European,Lung cancer
ABO - LCN1P2,East Asian,LDL cholesterol levels
MACF1,Hispanic,Colorectal cancer
RPL13P2 - CD40,European,Crohn's disease
HNF1B,European,Epithelial ovarian cancer
IL1R1 - IL1RL2,European,Blood protein levels
LOC107984957 - SLC25A3P1,Brazilian,PR interval in Tripanosoma cruzi seropositivity
LINC01243 - MTATP6P30,Latin American,Lobe size
LOC105376493 - CCNY,European,Crohn's disease
MAN2A1,Ashkenazi Jewish,Schizophrenia
PAN3,European,Monocyte percentage of white cells
LOC100422013 - LOC105379027,Finnish,Interleukin-18 levels
ABCD1,European,Bipolar disorder and schizophrenia
SMYD2,European,IgG glycosylation
IL2RA,European,Vitiligo
NONOP2,European,Psoriatic arthritis
KDM2B,European,Fasting glucose-related traits (BMI interaction)
SESTD1,African American,Late-onset Alzheimer's disease
LOC101926967,European,High light scatter reticulocyte percentage of red cells
ANK1,African,Blood pressure traits (multi-trait analysis)
SF3A1,African American,Coronary artery calcification
LOC100132626 - LOC105372932,European,Cerebrospinal fluid AB1-42 levels
LOC105375659,European,Thiazide-induced adverse metabolic effects in hypertensive patients
GUCY1A3,African American,Diabetic kidney disease
ARHGAP18 - RPL5P21,European,Antineutrophil cytoplasmic antibody-associated vasculitis
ACOT11,European,Angiotensin-converting enzyme inhibitor intolerance
RIN3,European,Post bronchodilator FEV1/FVC ratio
ADK,European,Permanent tooth development
WTAPP1,European,Post bronchodilator FEV1/FVC ratio
HNF1A,Korean,Gamma glutamyl transpeptidase
LARGE,European,Visceral adipose tissue/subcutaneous adipose tissue ratio
LOC105372112,European,HDL cholesterol
RPL39P13 - HSP90B3P,European,Vertical cup-disc ratio
CEMIP,European,Blood osmolality (transformed sodium)
KIF26B,European,Schizophrenia
SKAP1,European,Epithelial ovarian cancer
KIAA0825,Korean,Response to inhaled corticosteroid treatment in asthma (change in FEV1)
HMGCR,European,LDL cholesterol
LOC105377462,European,Post bronchodilator FEV1/FVC ratio in COPD
RPS18P12 - LOC105371545,European,Multiple system atrophy
FIG4,Hispanic,Iron status biomarkers (iron levels)
COG6,European,Menarche (age at onset)
AKAP6,"African American, Filipino",Body mass index in physically active individuals
PGPEP1 - GDF15,Native American,Systemic lupus erythematosus
IGLL3P - LOC101928049,Finnish,Monokine induced by gamma interferon levels
HCG24 - COL11A2,European,Diastolic blood pressure
LOC107985091,European,Post bronchodilator FEV1/FVC ratio
MIR1302-7 - LOC100131146,European,"Response to radiotherapy in prostate cancer (toxicity, urinary frequency)"
CHRM3,European,Epilepsy (generalized)
PRKG2 - RNU5A-2P,European,Waist circumference adjusted for body mass index
POC5,European,"Age-related diseases, mortality and associated endophenotypes"
REL,European,Rheumatoid arthritis
LOC105369887 - LOC728084,European,Hair color
FGFR4 - NSD1,"African American, Filipino",Waist circumference adjusted for BMI in active individuals
LOC105371985,African American,Metabolite levels (Pyroglutamine)
FAM19A1,European,Pediatric areal bone mineral density (radius)
PRKCH,European,Rheumatoid arthritis
GCH1,Japanese,Rheumatoid arthritis
RNF39,European,Neutrophil percentage of granulocytes
MAP2K5,"African American, Filipino",Body mass index in physically active individuals
GOLIM4,"African American, European",Response to metformin (IC50)
CDKN2B-AS1,Middle Eastern,Myocardial infarction
LOC105372657 - RN7SL636P,European,Alzheimer disease and age of onset
RNA5SP56 - PSMC1P12,European,Height
IREB2,European,Post bronchodilator FEV1
LOC105369474 - GUCY1A2,Ashkenazi Jewish,Schizophrenia
TRAF3IP1 - RNU6-234P,European,Lung function (FEV1/FVC)
FTO,British,Body fat percentage
EPPK1 - PLEC,European,Post bronchodilator FEV1
MYRF,European,Resting heart rate
HLA-DQB1 - MTCO3P1,Han Chinese,IgA nephropathy
RNU2-49P - CDO1,European,IgG glycosylation
LINC01330 - LOC107986039,"African American, Hawaiian",3-hydroxypropylmercapturic acid levels in smokers
ACAN,British,Height
LOC441087,European,Body mass index
SLC38A6,European,Cough in response to angiotensin-converting enzyme inhibitor drugs
3.8-1.5 - HCG4,European,Squamous cell lung carcinoma
CLU,European,Alzheimer's disease (late onset)
BCAS3,European,Immune reponse to smallpox (secreted IL-2)
OPA3,European,Depression and alcohol dependence
STX18-AS1,European,Post bronchodilator FEV1/FVC ratio
TRIB3,Finnish,Interleukin-17 levels
SETP7 - BTBD11,European,Post bronchodilator FEV1
"LOC102723546, LOC107985705",European,Menarche (age at onset)
ADGRG6,European,Hip circumference adjusted for BMI
NT5DC2,European,Cognitive function
LOC105375161 - RPL26P21,European,Type 2 diabetes
TRIP11,"African American, European",Waist circumference adjusted for body mass index
BZW2,European,Alzheimer's disease (cognitive decline)
SOX6,"African American, Nigerian",Blood pressure
DNAJB4,"African American, European",Body mass index (joint analysis main effects and physical activity interaction)
ZNF786,European,Neutrophil count
CCDC178,Finnish,TRAIL levels
BAMBI - LOC105376470,European,Percentage gas trapping
TENM2,European,Uric acid levels
PSMD9,European,Urinary metabolites (H-NMR features)
MKLN1,European,Lung cancer in never smokers
MST1,European,Crohn's disease
NKD1,European,Pediatric autoimmune diseases
LOC105374039,European,Current cigarettes per day in chronic obstructive pulmonary disease
RNA5SP169 - LOC100996286,European,"Autism spectrum disorder, attention deficit-hyperactivity disorder, bipolar disorder, major depressive disorder, and schizophrenia (combined)"
HIVEP2,East Asian,Adiponectin levels
LOC105374621 - LINC01377,African American,QT interval
"LOC105378761, LOC105378760",European,Periodontitis (PAL4Q3)
APOC1 - APOC1P1,European,LDL cholesterol
NKX2-3 - SLC25A28,Brazilian,Warfarin maintenance dose
KLC1,European,Body mass index
COL13A1,European,Early childhood aggressive behavior
CABLES1,Japanese,Height
LOC101928004,"African American, European",Waist-to-hip ratio adjusted for BMI (joint analysis for main effect and physical activity interaction)
SCN5A - SCN10A,European,QRS duration
PWWP2A - FABP6,European,Platelet distribution width
TPST1,Han Chinese,Gout
TPH2 x FGFR3P3 - CASC20,European,Colorectal cancer (SNP x SNP interaction)
SEMA3A,European,"Autism spectrum disorder, attention deficit-hyperactivity disorder, bipolar disorder, major depressive disorder, and schizophrenia (combined)"
HIST1H2BO - RNU7-26P,European,Mean corpuscular hemoglobin
ADAMTSL1,European,QT interval (drug interaction)
RNF186 - LOC105376823,European,Ulcerative colitis
